Jurisdiction,HHS Region,Doses allocated week of 12/14,Second Dose Shipment (21 days later) week of 12/14,Doses allocated week of 12/21,Second Dose Shipment (21 days later) week of 12/21,Doses allocated week of 12/28,Second Dose Shipment (21 days later) week of 12/28,Doses allocated for distribution week of 01/04,Second dose shipment for distribution (21 days later) week of 01/04,Doses allocated for distribution week of 01/10,Second dose shipment for distribution (21 days later) week of 01/10,"Total Pfizer Allocation ""First Dose"" Shipments","Total Allocation Pfizer ""Second Dose"" Shipments"
Philadelphia,Region 3,"13,650","13,650","9,750","9,750","12,675","12,675","9,750","9,750","9,750","9,750","55,575","55,575"
Puerto Rico,Region 2,"30,225","30,225","21,450","21,450","27,300","27,300","21,450","21,450","21,450","21,450","121,875","121,875"
Yes,Region 1,"9,750","9,750","6,825","6,825","8,775","8,775","6,825","6,825","6,825","6,825","39,000","39,000"
San Antonio ~,Region 6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Yes,Region 4,"42,900","42,900","30,225","30,225","39,000","39,000","30,225","30,225","30,225","30,225","172,575","172,575"
Yes,Region 8,"7,800","7,800","5,850","5,850","6,825","6,825","5,850","5,850","5,850","5,850","32,175","32,175"
Yes,Region 4,"56,550","56,550","39,975","39,975","51,675","51,675","39,975","39,975","39,975","39,975","228,150","228,150"
Yes,Region 6,"224,250","224,250","159,900","159,900","203,775","203,775","158,925","158,925","159,900","159,900","906,750","906,750"
Total,,"2,980,575","2,943,525","2,071,875","2,071,875","2,643,225","2,643,225","2,131,350","2,092,350","2,084,550","2,084,550",,
U.S. Virgin Islands,Region 2,975,975,975,975,975,975,975,975,975,975,"4,875","4,875"
Utah***,Region 8,"23,400","23,400","16,575","16,575","21,450","21,450","16,575","16,575","16,575","16,575","94,575","94,575"
Yes,Region 1,"5,850","5,850","4,875","4,875","5,850","5,850","3,900","3,900","4,875","4,875","25,350","25,350"
Yes,Region 3,"72,150","72,150","50,700","50,700","65,325","65,325","50,700","50,700","50,700","50,700","289,575","289,575"
Washington***,Region 10,"62,400","62,400","44,850","44,850","57,525","57,525","44,850","44,850","57,525","57,525","267,150","267,150"
Yes,Region 3,"16,575","16,575","11,700","11,700","14,625","14,625","11,700","11,700","11,700","11,700","66,300","66,300"
Wisconsin***,Region 5,"49,725","49,725","35,100","35,100","44,850","44,850","35,100","35,100","35,100","35,100","199,875","199,875"
Yes,Region 8,"4,875","4,875","3,900","3,900","4,875","4,875","3,900","3,900","3,900","3,900","21,450","21,450"
